#{"t_start": 1779209359.175848, "env_id": "None"}
r,l,t
-270.0,300,0.70069
-338.9,300,0.742379
-337.7,300,0.782752
-324.5,300,0.823155
-317.5,300,0.864346
-237.6,300,0.904751
-302.4,300,1.341959
-328.8,300,1.382433
-287.1,300,1.423577
-331.2,300,1.46415
-312.4,300,1.504856
-300.9,300,1.545715
-272.7,300,1.58668
-302.4,300,1.954489
-289.1,300,1.995103
-358.7,300,2.035453
-258.9,300,2.075734
-283.7,300,2.116272
-253.0,300,2.156698
-402.0,300,2.197275
-218.4,300,2.565619
-310.6,300,2.607045
-291.6,300,2.648771
-289.2,300,2.690121
-311.9,300,2.731432
-301.5,300,2.772593
-258.0,300,2.813821
-332.4,300,3.234688
-244.1,300,3.278804
-245.9,300,3.318934
-299.6,300,3.359634
-261.5,300,3.400682
-238.0,300,3.442584
-289.5,300,3.483208
-336.1,300,3.855825
-281.15,289,3.895247
-253.7,300,3.936256
-246.4,300,3.977667
-335.2,300,4.017804
-300.2,300,4.057903
-265.8,300,4.428148
-326.3,300,4.468413
-292.7,300,4.509047
-100.5,208,4.536994
-255.0,300,4.577033
-283.0,300,4.617185
-289.8,300,4.657206
-267.5,300,4.697365
-301.9,300,5.066382
-236.7,276,5.103565
-300.4,300,5.143594
-292.0,300,5.18458
-297.1,300,5.225811
-276.6,300,5.266445
-266.3,300,5.307485
-252.1,300,5.676837
-250.4,300,5.717621
-192.2,300,5.757918
-238.6,300,5.798222
-292.5,300,5.838702
-201.0,300,5.878977
-281.5,300,6.247777
-134.35,281,6.285512
-289.2,300,6.326631
-223.9,300,6.368518
-331.4,300,6.410082
-271.3,300,6.451605
-214.3,300,6.493247
-82.4,210,6.522697
-184.9,300,6.900913
-255.8,300,6.94494
-233.5,300,6.992623
-298.7,300,7.044184
-313.8,300,7.095298
-194.5,282,7.141275
-181.55,285,7.57849
-218.5,300,7.620365
-65.75,171,7.644427
-270.8,300,7.685746
-278.6,300,7.727182
-262.4,300,7.768449
-210.2,300,7.809778
-228.3,300,7.851792
-164.1,260,8.237233
-179.2,260,8.272413
-250.2,300,8.312661
-310.8,300,8.355199
-267.5,300,8.398023
-212.6,300,8.44172
-149.6,300,8.483493
-183.45,269,8.860067
-166.75,291,8.908676
-220.4,300,8.964077
-193.3,300,9.016176
-149.4,274,9.055744
-52.5,178,9.080564
-218.4,300,9.126852
25.7,138,9.147832
-107.05,193,9.525806
-50.05,169,9.548958
-215.1,300,9.589705
-218.2,300,9.631797
-54.8,194,9.658719
-108.3,300,9.699147
-237.5,300,9.739685
-381.5,300,9.78077
-47.6,230,10.142554
-229.5,300,10.183601
-163.9,300,10.225465
-304.4,300,10.266841
-239.8,300,10.308119
-178.9,272,10.345905
-255.5,300,10.386224
-202.7,300,10.830279
-192.8,274,10.87316
-139.5,300,10.920043
-285.9,300,10.96685
-59.75,233,11.002366
2.35,149,11.023715
-147.65,297,11.065236
-20.0,194,11.092508
58.05,101,11.107073
-195.0,300,11.498526
-97.65,249,11.532979
-55.35,225,11.563913
-124.8,300,11.60515
-163.1,248,11.640521
-40.3,210,11.669981
-182.8,300,11.712441
-179.7,300,12.113949
-180.25,273,12.156209
-138.45,283,12.198422
-43.1,178,12.224882
-159.1,300,12.268297
-47.5,198,12.297297
-295.6,300,12.339766
-118.4,256,12.375482
-229.5,300,12.776633
-65.2,238,12.809548
-162.95,261,12.846254
-188.8,300,12.891253
-304.8,300,12.935255
-30.75,187,13.025792
-134.3,300,13.070215
-167.4,286,13.111184
-82.55,241,13.500088
-143.9,256,13.536249
-76.05,193,13.563439
-146.4,300,13.604944
-34.95,255,13.64045
-144.6,300,13.682926
-129.7,300,13.725651
-177.8,300,14.101199
-201.6,300,14.142398
-156.5,300,14.182745
-94.2,300,14.224214
28.25,157,14.246249
-157.95,289,14.287038
42.45,187,14.312509
-59.1,214,14.341144
-200.5,300,14.713654
-176.9,300,14.755221
-128.5,272,14.792097
56.95,107,14.806656
-255.9,300,14.847284
-159.1,300,14.887688
-106.8,290,14.926542
-125.45,239,14.958422
-105.2,300,15.330713
-45.85,199,15.358186
-16.35,183,15.383474
-63.4,236,15.41576
-16.05,193,15.442246
-124.7,300,15.483063
-50.3,214,15.512343
14.0,198,15.538852
-97.8,300,15.579401
-171.65,263,15.943762
-266.0,300,15.985119
-158.5,300,16.026298
-76.1,250,16.060233
-5.2,200,16.08736
47.0,134,16.10567
-54.8,208,16.134791
-1.8,186,16.159736
-20.8,216,16.188583
-27.35,233,16.547658
-61.2,222,16.577908
47.8,154,16.598769
21.2,132,16.616617
-61.85,293,16.655807
-67.35,211,16.684187
-142.9,276,16.721468
-90.8,262,16.756978
16.45,169,16.779679
-45.15,253,17.14019
-87.55,279,17.183084
-47.9,268,17.219721
39.95,153,17.240721
27.15,137,17.259195
-42.0,262,17.29449
-25.6,180,17.318826
-35.65,191,17.344671
-61.2,212,17.373111
-66.9,196,17.399267
21.35,159,17.420594
19.7,132,17.854039
39.35,129,17.875888
-12.5,232,17.909139
-106.7,244,17.943213
35.8,110,17.958929
33.05,199,17.986586
-51.9,188,18.012878
92.6,74,18.02335
30.75,183,18.048704
-5.3,170,18.072697
32.35,155,18.094433
-21.6,200,18.123902
16.9,160,18.487941
63.7,98,18.501717
-2.5,226,18.533538
-16.95,189,18.559772
64.0,140,18.5793
51.25,129,18.597216
29.3,196,18.624366
78.85,81,18.635459
54.0,154,18.656798
74.95,79,18.667801
45.15,143,18.687705
26.6,114,18.703506
45.8,124,18.720507
-25.35,157,18.742124
3.7,134,19.091669
45.6,170,19.115182
-128.7,300,19.155408
64.05,161,19.177962
-13.15,157,19.199915
44.55,165,19.222613
29.9,144,19.242311
29.65,143,19.262135
39.7,136,19.281067
62.8,126,19.298723
53.1,124,19.316056
48.15,135,19.334875
-67.85,265,19.715186
45.95,127,19.732904
59.7,104,19.747925
39.2,124,19.765173
22.1,134,19.783539
-3.55,151,19.804454
65.35,105,19.819263
-0.65,165,19.842252
-24.3,190,19.868486
22.25,177,19.893417
24.5,126,19.910418
42.85,147,19.930143
-55.15,229,19.960879
61.9,114,19.976389
64.65,105,19.990668
5.1,200,20.350885
71.0,88,20.364998
65.9,96,20.37996
118.6,48,20.386821
93.95,93,20.399908
36.6,126,20.420636
87.45,101,20.436736
2.35,133,20.457309
101.5,98,20.470853
92.85,85,20.483735
66.1,116,20.501811
117.9,58,20.511167
80.75,107,20.526856
84.15,97,20.540367
21.75,127,20.55856
95.2,66,20.56899
64.4,118,20.587302
52.0,106,20.602087
82.65,81,20.613242
87.95,65,20.62235
67.2,94,20.964079
67.0,108,20.978722
54.75,127,20.996263
70.7,90,21.008694
59.0,106,21.023176
51.0,114,21.038733
18.1,144,21.058372
70.2,94,21.071211
74.85,83,21.082541
67.65,95,21.095437
100.25,55,21.102956
-0.65,167,21.125622
42.5,114,21.141138
73.75,105,21.1554
107.2,66,21.164422
47.45,117,21.180384
107.45,57,21.188131
57.9,136,21.206592
52.05,93,21.219223
48.85,129,21.236928
100.5,78,21.596647
128.8,42,21.60339
97.25,61,21.612938
63.3,110,21.629875
77.85,81,21.641489
31.4,120,21.657957
55.25,97,21.671087
101.0,90,21.683378
85.35,83,21.694898
64.25,115,21.714432
49.15,135,21.735579
115.85,65,21.745027
88.7,74,21.755526
40.05,119,21.772024
96.4,86,21.784244
45.75,111,21.799506
50.1,124,21.816552
81.6,118,21.832803
88.0,66,21.84187
47.3,140,21.861078
55.6,120,21.877514
33.5,130,22.230824
60.9,100,22.244992
99.8,64,22.25421
103.1,68,22.263626
96.05,63,22.272668
77.6,96,22.286186
70.2,90,22.29932
70.45,109,22.318408
60.3,124,22.446843
50.2,112,22.483036
87.3,88,22.499362
72.5,82,22.512978
125.65,37,22.518955
57.9,136,22.541615
116.4,48,22.549162
59.5,124,22.573776
103.9,72,22.590508
92.85,63,22.602266
77.2,98,22.619644
61.55,111,22.636151
97.75,65,22.645735
89.8,70,22.656822
108.65,63,22.666282
97.95,77,23.309942
102.2,64,23.323608
112.3,70,23.338036
110.55,53,23.350898
62.95,93,23.370673
124.45,45,23.379885
66.9,104,23.400262
77.25,95,23.424673
106.55,63,23.437484
128.75,35,23.444867
71.0,102,23.471021
65.7,124,23.498999
116.65,55,23.508135
99.15,61,23.51797
64.5,114,23.535499
111.05,59,23.544144
81.15,85,23.558624
65.2,96,23.577519
109.25,63,23.586821
111.45,51,23.594638
67.45,111,23.61128
75.75,95,23.627473
110.65,61,23.636843
119.5,42,23.643484
105.3,64,23.653457
107.05,71,23.665708
45.0,112,23.683038
114.6,52,23.691362
87.0,76,24.099495
96.15,63,24.109126
110.15,55,24.116887
122.8,48,24.123814
113.45,45,24.130182
123.65,41,24.136015
101.35,63,24.145384
96.05,61,24.154162
117.9,48,24.160851
89.15,79,24.172018
113.9,48,24.178921
114.65,59,24.187271
82.25,89,24.199932
91.25,81,24.211671
110.85,51,24.218855
95.35,75,24.23021
68.1,72,24.240676
107.35,55,24.248343
62.85,95,24.262211
94.3,54,24.269927
108.6,62,24.27897
123.8,44,24.285075
106.95,67,24.29469
113.55,53,24.302177
106.35,61,24.312181
127.8,28,24.316393
97.65,73,24.327754
114.7,50,24.335646
129.9,36,24.341297
58.7,100,24.356286
104.2,62,24.365159
112.05,51,24.372759
105.45,55,24.380455
65.55,91,24.767255
71.2,82,24.779362
125.2,46,24.786416
99.3,62,24.796179
117.7,52,24.804081
123.7,36,24.810351
133.8,30,24.815293
101.8,66,24.825347
74.25,95,24.839832
126.5,42,24.845981
111.5,42,24.852439
118.45,47,24.86
95.8,78,24.87217
128.8,42,24.878632
123.65,39,24.884564
113.4,58,24.894005
95.55,53,24.90208
131.1,34,24.907311
122.9,42,24.91338
100.15,59,24.921887
113.5,50,24.929133
99.1,62,24.937873
126.7,42,24.944029
81.1,70,24.953827
133.8,32,24.958505
121.8,38,24.963845
119.95,53,24.971307
121.65,49,24.978436
128.7,36,24.983518
126.35,41,24.989703
117.55,45,24.996062
125.95,43,25.002506
93.5,66,25.012553
107.45,59,25.021037
141.0,28,25.025326
124.75,45,25.031891
103.75,75,25.042625
122.2,44,25.048706
129.05,45,25.055209
86.45,99,25.41771
139.2,26,25.421415
124.7,44,25.427787
136.85,33,25.432469
119.55,47,25.439311
127.9,42,25.445398
122.55,51,25.452628
118.9,60,25.461266
124.1,36,25.466471
104.0,46,25.473159
114.9,58,25.481077
120.75,57,25.489436
138.0,32,25.494057
136.9,32,25.4985
120.6,44,25.504582
138.0,30,25.508856
119.6,46,25.515059
108.25,59,25.523199
32.65,127,25.540959
113.1,54,25.54862
94.75,81,25.560058
127.55,33,25.564642
112.15,45,25.571087
122.4,44,25.577289
126.8,40,25.582957
140.15,23,25.586235
116.7,42,25.592235
121.75,43,25.598387
101.25,59,25.60677
111.45,51,25.614012
108.2,58,25.622286
109.2,56,25.630232
123.45,35,25.635183
127.8,40,25.640891
123.3,38,25.646267
117.4,44,25.652504
97.8,84,25.664631
129.15,47,25.671362
123.3,44,25.677715
93.3,78,25.688521
112.3,54,25.696095
101.65,63,25.704948
123.9,56,26.05553
107.7,48,26.062398
130.7,36,26.067435
132.85,31,26.072025
133.8,36,26.077211
136.05,37,26.082423
136.2,34,26.087207
133.65,31,26.091641
124.85,47,26.098309
125.7,40,26.103977
81.85,87,26.116435
136.0,28,26.120379
124.8,46,26.127103
126.7,40,26.132682
130.6,32,26.137173
124.8,50,26.144315
131.65,33,26.148937
87.3,74,26.159344
103.35,71,26.169405
109.8,44,26.175689
120.7,48,26.182322
129.65,37,26.187513
132.0,30,26.19193
131.35,37,26.197036
116.85,53,26.204252
